Leeds 027D,E01011458,1017,174,74,100,806,37
Leeds 027E,E01011465,836,310,139,171,507,19
Leeds 028A,E01011453,705,222,115,107,465,18
Leeds 028B,E01011460,655,209,71,138,406,40
Leeds 028C,E01011462,725,225,115,110,465,35
Leeds 028D,E01011463,757,262,139,123,465,30
Leeds 028E,E01011464,900,330,79,251,517,53
Leeds 029A,E01011714,773,183,99,84,560,30
Leeds 029B,E01011716,621,150,80,70,430,41
Leeds 029C,E01011717,724,252,132,120,436,36
Leeds 029D,E01011718,825,253,85,168,530,42
Leeds 029E,E01011720,696,256,108,148,415,25
Leeds 030A,E01011296,778,239,155,84,528,11
Leeds 030B,E01011297,706,162,90,72,517,27
Leeds 030C,E01011309,662,184,93,91,459,19
Leeds 030D,E01011310,731,230,132,98,484,17
Leeds 031A,E01011513,966,280,99,181,656,30
Leeds 031B,E01011688,610,127,42,85,439,44
Leeds 031C,E01011689,802,294,121,173,480,28
Leeds 031D,E01011691,687,259,93,166,354,74
Leeds 032A,E01011504,749,331,78,253,386,32
Leeds 032B,E01011641,616,137,65,72,447,32
Leeds 032C,E01011642,493,114,46,68,347,32
Leeds 032D,E01011645,615,202,68,134,373,40
Leeds 033A,E01011484,668,213,67,146,419,36
Leeds 033B,E01011485,759,316,95,221,399,44
Leeds 033E,E01011686,804,402,122,280,377,25
Leeds 033F,E01032493,642,194,70,124,414,34
Leeds 033G,E01032494,723,203,77,126,449,71
Leeds 034A,E01011350,680,216,86,130,423,41
Leeds 034B,E01011351,907,377,110,267,462,68
Leeds 034C,E01011352,964,433,128,305,400,131
Leeds 034D,E01011353,846,213,66,147,573,60
Leeds 035A,E01011656,640,211,43,168,398,31
Leeds 035B,E01011657,603,243,67,176,323,37
Leeds 035C,E01011659,663,258,80,178,375,30
Leeds 035D,E01011661,878,485,201,284,357,36
Leeds 037A,E01011643,635,223,142,81,386,26
Leeds 037B,E01011644,562,187,77,110,347,28
Leeds 037C,E01011646,651,162,81,81,422,67
Leeds 037D,E01011647,540,107,45,62,328,105
Leeds 037E,E01011648,579,104,52,52,403,72
Leeds 038A,E01011354,652,219,39,180,389,44
Leeds 038B,E01011355,610,182,75,107,377,51
Leeds 038C,E01011357,910,401,111,290,450,59
Leeds 038D,E01011450,520,146,50,96,325,49
Leeds 039A,E01011588,706,161,71,90,516,29
Leeds 039B,E01011589,701,225,101,124,454,22
Leeds 039C,E01011590,662,140,83,57,499,23
Leeds 039D,E01011592,799,315,134,181,469,15
Leeds 039E,E01011593,853,209,82,127,623,21
Leeds 040A,E01011421,598,186,87,99,374,38
Leeds 040B,E01011425,603,174,80,94,385,44
Leeds 040C,E01011658,747,277,107,170,429,41
Leeds 040D,E01011660,755,239,63,176,471,45
Leeds 040E,E01011662,516,178,34,144,297,41
Leeds 041A,E01011721,616,168,68,100,409,39
Leeds 041B,E01011722,907,299,106,193,554,54
Leeds 041C,E01011723,714,211,114,97,475,28
Leeds 041D,E01011724,842,296,110,186,504,42
Leeds 042A,E01011356,937,415,81,334,430,92
Leeds 042B,E01011358,716,298,99,199,364,54
Leeds 042C,E01011359,835,380,58,322,359,96
Leeds 042D,E01011360,756,265,61,204,375,116
Leeds 042E,E01011361,1141,485,91,394,522,134
Leeds 044A,E01011435,607,145,15,130,102,360
Leeds 044D,E01011440,660,220,55,165,168,272
Leeds 044E,E01011441,688,198,24,174,192,298
Leeds 044G,E01035040,537,129,9,120,81,327
Leeds 044H,E01035041,448,150,45,105,128,170
Leeds 045A,E01011477,920,397,85,312,444,79
Leeds 045B,E01011480,643,152,57,95,390,101
Leeds 045C,E01011488,701,237,53,184,350,114
Leeds 045D,E01011489,862,358,145,213,424,80
Leeds 046A,E01011324,549,184,31,153,328,37
Leeds 046B,E01011325,749,245,73,172,465,39
Leeds 046C,E01011326,629,174,74,100,414,41
Leeds 046D,E01011332,694,255,71,184,399,40
Leeds 047A,E01011423,604,146,62,84,406,52
Leeds 047B,E01011424,575,106,23,83,400,69
Leeds 047C,E01011427,583,143,47,96,350,90
Leeds 047D,E01011431,831,308,47,261,469,54
Leeds 048A,E01011422,545,180,31,149,294,71
Leeds 048B,E01011426,496,133,26,107,291,72
Leeds 048C,E01011428,648,173,43,130,359,116
Leeds 048D,E01011429,737,304,60,244,353,80
Leeds 050A,E01011663,590,113,17,96,430,47
Leeds 050B,E01011664,579,197,91,106,353,29
Leeds 050C,E01011665,647,252,79,173,363,32
Leeds 050D,E01011667,541,114,36,78,372,55
Leeds 051A,E01011323,611,241,120,121,344,26
Leeds 051B,E01011329,697,208,87,121,468,21
Leeds 051C,E01011330,583,163,69,94,392,28
Leeds 051D,E01011333,634,227,104,123,379,28
Leeds 052A,E01011327,655,265,64,201,363,27
Leeds 052B,E01011328,706,229,92,137,449,28
Leeds 052C,E01011335,814,277,89,188,502,35
Leeds 052D,E01011591,833,295,76,219,500,38
Leeds 053A,E01011430,486,119,28,91,300,67
Leeds 053B,E01011432,564,144,34,110,341,79
Leeds 053C,E01011433,690,207,28,179,414,69
Leeds 053D,E01011434,656,203,33,170,374,79
Leeds 054A,E01011445,477,57,3,54,69,351
Leeds 054B,E01011446,512,116,10,106,81,315
Leeds 054C,E01011447,435,86,13,73,78,271
Leeds 054D,E01011448,478,113,15,98,110,255
Leeds 054E,E01011449,615,149,18,131,173,293
Leeds 055A,E01011670,779,291,95,196,350,138
Leeds 055B,E01011671,640,216,54,162,348,76
Leeds 055F,E01033002,1016,445,101,344,468,103
Leeds 055G,E01033003,1182,623,37,586,458,101
Leeds 055I,E01035042,467,223,43,180,164,80
Leeds 055J,E01035043,435,180,15,165,110,145
Leeds 056A,E01011478,805,308,56,252,269,228
Leeds 056B,E01011479,618,179,13,166,148,291
Leeds 056C,E01011481,711,248,27,221,238,225
Leeds 056D,E01011482,872,309,58,251,354,209
Leeds 056E,E01011483,699,283,59,224,232,184
Leeds 057A,E01011406,585,172,88,84,383,30
Leeds 057B,E01011407,665,223,119,104,421,21
Leeds 057C,E01011408,765,301,185,116,432,32
Leeds 057D,E01011409,663,238,69,169,390,35
Leeds 057E,E01011410,777,241,139,102,512,24
Leeds 057F,E01011412,795,220,126,94,551,24
Leeds 058A,E01011331,632,232,84,148,361,39
Leeds 058B,E01011334,686,283,63,220,355,48
Leeds 058C,E01011336,828,403,166,237,399,26
Leeds 058D,E01011337,566,115,31,84,401,50
Leeds 059A,E01011281,901,269,67,202,560,72
Leeds 059B,E01011282,616,233,62,171,343,40
Leeds 059C,E01011283,633,192,49,143,401,40
Leeds 059D,E01011286,587,182,56,126,376,29
Leeds 059E,E01011295,750,244,52,192,470,36
Leeds 060A,E01011339,863,351,121,230,447,65
Leeds 060B,E01011340,674,197,80,117,443,34
Leeds 060C,E01011342,662,136,38,98,486,40
Leeds 060D,E01011346,788,273,98,175,469,46
Leeds 061A,E01011341,876,223,77,146,607,46
Leeds 061B,E01011343,932,340,86,254,548,44
Leeds 061C,E01011345,672,260,106,154,357,55
Leeds 061D,E01011666,594,146,78,68,422,26
Leeds 062A,E01011585,670,250,109,141,400,20
Leeds 062B,E01011587,796,277,76,201,489,30
Leeds 062C,E01011594,629,173,86,87,432,24
Leeds 062D,E01011596,781,264,95,169,497,20
Leeds 062E,E01011598,755,264,77,187,470,21
Leeds 063B,E01011678,858,392,33,359,245,221
Leeds 063D,E01011681,644,263,31,232,237,144
Leeds 063F,E01035044,650,326,18,308,149,175
Leeds 063G,E01035045,621,336,8,328,131,154
Leeds 064A,E01011338,806,303,66,237,459,44
Leeds 064B,E01011673,783,281,49,232,428,74
Leeds 064D,E01011677,784,382,75,307,344,58
Leeds 064E,E01033031,867,425,52,373,351,91
Leeds 064F,E01033035,770,363,26,337,374,33
Leeds 065A,E01011344,839,301,66,235,464,74
Leeds 065B,E01011347,781,260,38,222,437,84
Leeds 065C,E01011348,680,221,65,156,423,36
Leeds 065D,E01011349,919,473,128,345,403,43
Leeds 066A,E01011586,698,166,82,84,484,48
Leeds 066B,E01011595,803,220,63,157,492,91
Leeds 066C,E01011597,563,128,55,73,384,51
Leeds 066D,E01011599,706,209,113,96,471,26
Leeds 067B,E01011287,649,189,78,111,435,25
Leeds 067G,E01032499,701,191,72,119,474,36
Leeds 067H,E01032500,644,273,47,226,289,82
Leeds 067I,E01032606,924,282,74,208,596,46
Leeds 067J,E01032607,646,306,80,226,294,46
Leeds 067K,E01032608,518,221,50,171,247,50
Leeds 068A,E01011608,593,193,112,81,371,29
Leeds 068B,E01011609,656,257,86,171,372,27
Leeds 068C,E01011610,693,224,93,131,428,41
Leeds 068D,E01011611,622,173,56,117,409,40
Leeds 068E,E01011614,854,274,92,182,544,36
Leeds 069A,E01011413,597,135,67,68,434,28
Leeds 069B,E01011415,735,217,79,138,468,50
Leeds 069C,E01011416,617,154,78,76,442,21
Leeds 069D,E01011417,738,281,166,115,435,22
Leeds 069E,E01011420,627,182,133,49,421,24
Leeds 070A,E01011615,652,177,69,108,432,43
Leeds 070B,E01011617,687,175,68,107,476,36
Leeds 070C,E01011618,712,233,57,176,424,55
Leeds 070D,E01011621,597,141,54,87,422,34
Leeds 071A,E01011284,1094,483,44,439,493,118
Leeds 071B,E01011292,959,468,123,345,428,63
Leeds 071C,E01011293,851,331,61,270,444,76
Leeds 071D,E01011294,486,197,40,157,259,30
Leeds 071E,E01011363,861,306,73,233,479,76
Leeds 072A,E01011616,700,235,87,148,426,39
Leeds 072B,E01011620,496,92,42,50,367,37
Leeds 072C,E01011622,703,214,53,161,445,44
Leeds 072D,E01011624,725,235,102,133,440,50
Leeds 073A,E01011411,734,179,75,104,535,20
Leeds 073B,E01011414,644,161,72,89,459,24
Leeds 073C,E01011418,624,178,75,103,429,17
Leeds 073D,E01011419,494,122,73,49,361,11
Leeds 074A,E01011396,896,330,146,184,505,61
Leeds 074B,E01011399,619,161,85,76,428,30
Leeds 074C,E01011400,605,169,93,76,408,28
Leeds 074D,E01011403,667,253,173,80,395,19
Leeds 075B,E01011623,704,223,52,171,406,75
Leeds 075C,E01011625,733,252,36,216,409,72
Leeds 075D,E01011626,1171,511,101,410,561,99
Leeds 075E,E01033021,1079,526,116,410,479,74
Leeds 075F,E01033033,655,290,41,249,287,78
Leeds 075G,E01033034,915,433,10,423,355,127
Leeds 076A,E01011602,907,382,190,192,495,30
Leeds 076B,E01011603,708,223,108,115,472,13
Leeds 076C,E01011605,712,167,106,61,531,14
Leeds 076D,E01011606,762,163,73,90,536,63
Leeds 076E,E01011613,698,165,59,106,508,25
Leeds 077A,E01011397,610,135,77,58,452,23
Leeds 077B,E01011398,493,107,51,56,370,16
Leeds 077C,E01011401,713,148,90,58,538,27
Leeds 077D,E01011404,544,105,69,36,421,18
Leeds 077E,E01011405,659,167,129,38,474,18
Leeds 078A,E01011725,674,263,52,211,379,32
Leeds 078B,E01011729,799,363,96,267,373,63
Leeds 078C,E01011730,680,218,38,180,426,36
Leeds 078D,E01011735,710,241,92,149,438,31
Leeds 079A,E01011600,688,238,110,128,441,9
Leeds 079B,E01011601,663,180,57,123,449,34
Leeds 079C,E01011604,621,193,77,116,407,21
Leeds 079D,E01011607,714,197,72,125,492,25
Leeds 079E,E01011612,743,387,184,203,322,34
Leeds 080A,E01011726,659,225,89,136,411,23
Leeds 080B,E01011727,679,198,69,129,439,42
Leeds 080C,E01011728,614,179,101,78,402,33
Leeds 080D,E01011739,739,297,89,208,406,36
Leeds 081A,E01011362,1031,545,104,441,432,54
Leeds 081B,E01011731,599,158,88,70,417,24
Leeds 081C,E01011732,805,200,75,125,556,49
Leeds 081D,E01011733,729,256,123,133,443,30
Leeds 082A,E01011366,784,319,81,238,398,67
Leeds 082C,E01011368,720,294,43,251,359,67
Leeds 082D,E01011370,685,279,48,231,324,82
Leeds 082E,E01033013,719,317,73,244,323,79
Leeds 082G,E01035046,763,429,1,428,251,83
Leeds 082H,E01035047,635,238,29,209,323,74
Leeds 083A,E01011734,1191,317,70,247,822,52
Leeds 083B,E01011736,642,203,99,104,410,29
Leeds 083C,E01011737,763,344,146,198,376,43
Leeds 083D,E01011738,655,180,73,107,458,17
Leeds 085A,E01011364,877,327,72,255,463,87
Leeds 085B,E01011371,755,372,128,244,323,60
Leeds 085C,E01011373,590,211,25,186,325,54
