ATCOCode,NaptanCode,PlateCode,CommonName,Landmark,Street,Indicator,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,Town,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,Status
450012661,45012661,45012661,Alwoodley Lane Harrogate Rd,,Alwoodley Lane,before,E,E0032190,Alwoodley Gates,Leeds,Alwoodley,431074,440738,-1.52900462,53.861937192982474,BCT,MKD,OTH,active
450012662,45012662,45012662,Primley Park Avenue,,Primley Park Avenue,,W,E0033228,Moortown,Leeds,Alwoodley,430808,439687,-1.533154082,53.852507054376325,BCT,MKD,OTH,active
450012663,45012663,45012663,Primley Park,Water Tower,Nursery Lane,,E,E0033228,Moortown,Leeds,Alwoodley,430665,439546,-1.535341853,53.851248237714124,BCT,MKD,OTH,active
450012664,45012664,45012664,Moortown Water Twr,Water Tower,Nursery Lane,,W,E0033228,Moortown,Leeds,Alwoodley,430535,439552,-1.53731733,53.851309794016736,BCT,MKD,OTH,active
450012665,45012665,45012665,Scotland Wood Road,,Black Moor Road,,NW,E0033228,Moortown,Leeds,Moortown,428956,439009,-1.561370088,53.846519606624177,BCT,MKD,OTH,active
450012666,45012666,45012666,Tynwald Hill,,Black Moor Road,,NW,E0033228,Moortown,Leeds,Moortown,429121,438828,-1.558879364,53.844883660408250,BCT,MKD,OTH,active
450012667,45012667,45012667,Tynwald Hill,,Black Moor Road,,SE,E0033228,Moortown,Leeds,Moortown,429139,438820,-1.558606551,53.844810754073407,BCT,MKD,OTH,active
450012668,45012668,45012668,King Lane Buck Stone Gdns,Moorcroft Surgery,King Lane,SE bound,SE,E0033228,Moortown,Leeds,Alwoodley,429121,439812,-1.558786427,53.853727469865682,BCT,MKD,OTH,active
450012669,45012669,45012669,King Lane Buck Stone Gdns,Moorcroft Surgery,King Lane,NW bound,NW,E0033228,Moortown,Leeds,Alwoodley,429059,439850,-1.559725337,53.854072458232203,BCT,MKD,OTH,active
450012670,45012670,45012670,The Avenue Bottom,Playground,King Lane,N bound,N,E0032189,Alwoodley,Leeds,Alwoodley,428830,440127,-1.5631806,53.856574738802117,BCT,MKD,TIP,active
450012671,45012671,45012671,King Ln The Lane,,King Lane,,N,E0032189,Alwoodley,Leeds,Alwoodley,428775,440366,-1.563994424,53.858725815019788,BCT,MKD,OTH,active
450012672,45012672,45012672,Alwoodley Lane The Ave,,Alwoodley Lane,adj,W,E0032189,Alwoodley,Leeds,Alwoodley,429459,440817,-1.553552248,53.862741009985214,BCT,MKD,TIP,active
450012673,45012673,45012673,Alwoodley Lane The Ave,,Alwoodley Lane,opp,E,E0032189,Alwoodley,Leeds,Alwoodley,429468,440831,-1.553414066,53.862866327359988,BCT,MKD,TIP,active
450012674,45012674,45012674,Alwoodley Lane Mount Dr,,Alwoodley Lane,after,E,E0032189,Alwoodley,Leeds,Alwoodley,429930,440792,-1.546393246,53.862489483536898,BCT,MKD,OTH,active
450012675,45012675,45012675,Alwoodley Lane Mount Dr,,Alwoodley Lane,before,W,E0032189,Alwoodley,Leeds,Alwoodley,429876,440787,-1.547214782,53.862447644171319,BCT,MKD,OTH,active
450012676,45012676,45012676,Alwoodley Lane The Fairway,,Alwoodley Lane,before,W,E0032189,Alwoodley,Leeds,Alwoodley,430247,440709,-1.541581528,53.861725212445386,BCT,MKD,OTH,active
450012677,45012677,45012677,Ring Rd Scotland Mill Lane,,Ring Road Meanwood,,W,E0033161,Meanwood,Leeds,Meanwood,428773,438544,-1.564194864,53.842350489580070,BCT,MKD,OTH,active
