LSOA code,Digital Propensity Score
E01011280,0.953
E01011347,0.953
E01011517,0.953
E01011590,0.953
E01011641,0.953
E01011706,0.953
E01011716,0.953
E01033003,0.953
E01011385,0.954
E01011512,0.954
E01011540,0.954
E01011713,0.954
E01033031,0.954
E01033033,0.954
E01011311,0.955
E01011324,0.955
E01011393,0.955
E01011451,0.955
E01011507,0.955
E01011589,0.955
E01011642,0.955
E01011655,0.955
E01011712,0.955
E01033005,0.955
E01011325,0.956
E01011637,0.956
E01011650,0.956
E01011450,0.957
E01011550,0.957
E01011688,0.957
E01011727,0.957
E01011508,0.958
E01011518,0.958
E01011621,0.958
E01011635,0.958
E01011643,0.958
E01011710,0.958
E01032494,0.958
E01032946,0.958
E01011305,0.959
E01011356,0.959
E01011603,0.959
E01011648,0.959
E01011673,0.959
E01011694,0.959
E01011380,0.960
E01011434,0.960
E01011516,0.960
E01011567,0.960
E01011595,0.960
E01011630,0.960
E01011687,0.960
E01011277,0.961
E01011478,0.961
E01011482,0.961
E01011506,0.961
E01011645,0.961
E01011684,0.961
E01011321,0.962
E01011374,0.962
E01011418,0.962
E01011564,0.962
E01011376,0.963
E01011481,0.963
E01011528,0.963
E01011529,0.963
E01011588,0.963
E01011601,0.963
E01011284,0.964
E01011490,0.964
E01011647,0.964
E01011734,0.964
E01011464,0.965
E01011561,0.965
E01011576,0.965
E01011281,0.966
E01011398,0.966
E01011534,0.966
E01011447,0.967
E01011513,0.967
E01011514,0.967
E01011693,0.967
E01032876,0.967
E01011454,0.968
E01011654,0.968
E01011373,0.969
E01011458,0.969
E01011499,0.969
E01032491,0.969
E01011353,0.970
E01011551,0.970
E01011702,0.971
E01011313,0.972
E01011395,0.972
E01011488,0.972
E01011663,0.972
E01011685,0.972
E01032496,0.972
E01032945,0.972
E01011444,0.973
E01011386,0.974
E01011668,0.974
E01011448,0.975
E01011479,0.975
E01011496,0.975
E01011669,0.975
E01011441,0.976
E01011526,0.976
E01011692,0.976
E01011449,0.978
E01011435,0.980
E01011442,0.980
E01011678,0.980
E01011266,0.983
E01032495,0.983
E01033006,0.985
E01033016,0.986
E01033011,0.987
E01033032,0.987
E01011443,0.988
E01011549,0.988
E01011446,0.990
E01033019,0.991
E01033015,0.994
E01033018,0.995
E01033010,0.996
E01033008,0.997
E01011445,0.998
E01033034,0.998
