Living Arrangements,Health,Education,Deprivation,Digital Exclusion,Transport Access,Car Access,Public Transport Access
0.30013126,0.5937941,0.8116827,0.49897742,0.2822336,0.5672491,0.7371377,0.4370762
0.5609561,0.29431754,0.6306325,0.20404296,0.6061944,0.5543641,0.5802897,0.56933665
0.8923762,0.57519233,0.7742791,0.41071233,0.63211083,0.8430533,0.94509786,0.7554125
0.16264056,0.44891083,0.9444929,1,0.37294286,0.39530623,0.84610814,0
0.48169154,0.5917022,0.7680888,0.6755075,0.4895686,0.7135041,0.7490642,0.7042371
0.37772158,0.2991148,0.6288729,0.34612817,0.5025269,0.45021448,0.36100242,0.58988297
0.5477358,0.51269484,0.6504121,0.4623797,0.5543606,0.7068224,0.6964499,0.7441013
0.5191011,0.09051984,0.32975662,0.12223633,0.4895686,0.6025684,0.49297255,0.7486385
0.48537475,0.12097076,0.51183164,0.27939117,0.5543606,0.4707618,0.37502676,0.6150676
0.5612935,0.4831955,0.67482156,0.3934899,0.8653623,0.8399689,0.7856859,0.90893877
0.40168688,0.64986396,0.78529257,0.42147636,0.6969029,0.628876,0.7936565,0.4981553
0.7236145,0.28845692,0.66909844,0.37626743,0.70986104,0.73056746,0.66076213,0.8250998
0.34709355,0.717754,0.7381985,0.33536413,0.7746531,0.594905,0.48014632,0.7468413
0.43835345,0.27786013,0.63783896,0.3633506,0.4247766,0.60145074,0.51221186,0.72726643
0.91367257,0.6489792,0.857239,0.63245136,0.8783206,0.7192432,0.8207373,0.6435157
0.15379617,0.43271804,0.8700225,0.7293277,0.4118176,0.6839687,0.79211384,0.6048274
0.5993474,0.72873497,0.80270654,0.50113016,0.7876121,0.7224907,0.7598987,0.7105511
0.32656148,0.46088952,0.70141035,0.30953044,0.4895686,0.74838984,0.71076226,0.8091089
0.16751914,1,0.8915547,0.81759274,0.5932353,0.7018383,0.6954923,0.7355481
0.3493774,0.6622515,0.6530385,0.4021011,0.51548505,0.6060957,0.5817869,0.66655505
0.27840477,0.70264554,0.7848957,0.62599295,0.4118176,0.8436751,0.90407276,0.79762405
0.690762,0.544007,0.8537994,0.5764784,0.7487366,0.89815813,0.88280344,0.9228593
0.5167274,0.6061123,0.8089992,0.5355751,0.8783206,0.6144124,0.85947317,0.4047389
0.59451455,0.6120685,0.9585438,0.5893953,0.73577833,0.84370416,0.8971498,0.8046027
0.5277054,0.10752573,0.18524271,0.18466769,0.5025269,0.53555685,0.33792576,0.77581215
0.50063145,0.26832837,0.19369383,0.27939117,0.5673188,0.6996794,0.46323895,0.96368164
0.5606087,0.37496158,0.43479246,0.53988075,0.46365136,0.6062808,0.5387229,0.70997226
0.27501044,0.12958817,0.13606021,0.057652142,0.1785661,0.65226007,0.33643395,1
0.1801086,0.6470209,0.6833052,0.48390776,0.45069307,0.8064102,0.7458329,0.8847541
0.31898198,0.3061103,0.41374162,0.4666853,0.32110912,0.6637099,0.5421398,0.816143
0.5892284,0.57794,0.64722425,0.60446495,0.8653623,0.878477,0.8182929,0.94981384
0.28895319,0.8063309,0.97195625,1,0.4766096,0.84762454,0.86735195,0.84188133
0.2840865,0.6136052,0.7243865,1,0.6969029,0.66779405,0.8561951,0.50988114
0.39421633,0.71962225,0.7547262,0.75946695,0.7487366,0.53676015,0.80561244,0.3104217
0.3103202,0.7857419,0.79699236,0.7056468,0.5932353,0.40862405,0.8113447,0.06017685
0.29630738,0.74896413,0.9683796,0.6496739,0.54140234,0.6756786,0.68937457,0.6917472
0.40695834,0.6974053,0.9369581,0.8498848,0.5543606,0.80658996,0.8934366,0.73749346
0.77848756,0.29786536,0.7091269,0.34182253,0.83944505,0.57263386,0.7180285,0.46646082
0.23359798,1,0.7928501,0.6001593,0.45069307,0.6431825,0.52664137,0.7924706
0.752289,0.88162243,0.73496306,0.7573141,1,0.8825936,0.9233033,0.85265887
0.13606319,0.84806424,0.9102206,1,0.4118176,0.8668045,0.7458329,1
0.08914489,0.7241891,0.8445225,0.7336333,0.1915251,0.62800854,0.6884446,0.601712
0.0797937,0.6852171,0.87920254,1,0.4895686,0.9419899,0.88930374,1
0.59887505,0,0.16513813,0.025360059,0.26927537,0.5516585,0.2021541,0.9423094
0.91115326,0.12933664,0.205445,0,0.83944505,0.5881158,0.33952674,0.8745055
0.5032262,0.37565884,0.37890399,0.40855953,0.8912788,0.6846124,0.55453855,0.843631
