Education,Car Access,Deprivation,Living Arrangements,Digital Exclusion,Health,Public Transport Access
0.44594595,0.61904764,0.157,0.09589041,0.949,0.12612613,31.531532
0.20430107,0.17045455,0.02087,0.12941177,0.953,0.06451613,4.3010755
0.23516484,0.26136363,0.037,0.1408,0.939,0.104803495,30.76923
0.3292683,0.42592594,0.083,0.15254237,0.959,0.10240964,27.439024
0.4319809,0.5714286,0.053,0.15849057,0.946,0.10663507,26.252983
0.30517712,0.4390244,0.033,0.0961313,0.946,0.075675674,19.07357
0.515625,0.50877196,0.19,0.08597285,0.963,0.15625,98.958336
0.39321357,0.5714286,0.163,0.2094818,0.912,0.12,23.952097
0.43265307,0.5138889,0.133,0.10084034,0.948,0.13360325,16.32653
0.48639455,0.66964287,0.156,0.18887015,0.92,0.12847222,40.816326
0.6158192,0.5740741,0.253,0.09045226,0.958,0.2159091,107.344635
0.6035088,0.6896552,0.199,0.16453901,0.914,0.16491228,31.578947
0.35782748,0.61157024,0.17,0.15087281,0.933,0.1178344,19.169329
0.5555556,0.73195875,0.409,0.16440678,0.948,0.26865673,85.85858
0.2195946,0.2535211,0.069,0.1311787,0.965,0.05102041,50.675674
0.21875,0.36486486,0.062,0.13237925,0.96,0.083333336,17.361113
0.4234079,0.4342857,0.085,0.19729425,0.909,0.12886597,63.6833
0.30647987,0.38064516,0.052,0.1992288,0.923,0.09807356,21.015762
0.5359116,0.9076923,0.404,0.08188586,0.946,0.2977528,22.09945
0.1724138,0.6896552,0.145,0.11363637,0.955,0.11724138,6.8965516
0.48958334,0.8333333,0.34,0.059722222,0.942,0.12765957,20.833334
0.6825397,0.62068963,0.167,0.04566929,0.987,0.14285715,0
0.47619048,0.8333333,0.354,0.02680067,0.974,0.13953489,0
0.2,0.72727275,0.049,0.010928961,0.998,0.125,200
0.572327,0.91752577,0.519,0.099409446,0.943,0.25,56.603775
0.42088607,0.5675676,0.108,0.18632479,0.897,0.12063492,31.64557
0.3869565,0.5106383,0.173,0.092337914,0.966,0.1319149,60.869564
0.45689654,0.60784316,0.168,0.136,0.944,0.12446352,43.10345
0.29357797,0.35526314,0.06,0.123980425,0.955,0.051829267,61.16208
0.55701756,0.6741573,0.192,0.13505311,0.946,0.16740088,30.701756
0.35014838,0.5208333,0.091,0.16608997,0.929,0.115384616,11.869436
0.36393443,0.5714286,0.106,0.17894737,0.915,0.12052117,22.950819
0.48555955,0.68108106,0.086,0.24183007,0.915,0.13285458,19.855597
0.22222222,1,0.178,0.003355705,0.997,0.22222222,1444.4445
0.35353535,0.5185185,0.224,0.034883723,0.976,0.10784314,30.303032
0.7,0.6666667,0.291,0.006289308,0.998,0.15,100
0.53333336,0.7,0.249,0.01953125,0.99,0.14754099,66.66667
0.5,0.6117647,0.277,0.092391305,0.933,0.17061612,100
0.49621212,0.5735294,0.097,0.05877414,0.964,0.08745247,75.757576
0.34615386,0.48421052,0.072,0.121638924,0.946,0.09677419,6.4102564
0.34710744,0.375,0.163,0.05882353,0.964,0.09917355,33.05785
0.51583713,0.6438356,0.145,0.09746329,0.956,0.13574661,63.34842
0.5730337,0.80263156,0.426,0.112094395,0.93,0.24157304,33.707863
0.26530612,0.35643566,0.072,0.14658926,0.94,0.07908163,79.081635
0.3611111,0.31182796,0.057,0.14048338,0.929,0.08963586,36.111115
0.575419,0.76,0.314,0.12295082,0.918,0.2122905,39.106144
0.43265307,0.3939394,0.137,0.10122699,0.959,0.12145749,28.571428
0.2033097,0.3955224,0.05,0.17585301,0.934,0.08510638,35.460995
0.31343284,0.5,0.088,0.13793103,0.918,0.10271903,2.9850748
0.3065134,0.45544556,0.107,0.14407988,0.955,0.107279696,53.639847
0.59574467,0.65217394,0.318,0.07578254,0.929,0.20979021,21.276594
0.63461536,0.8235294,0.378,0.12820514,0.92,0.29326922,52.884617
0.18390805,0.28125,0.023,0.084136724,0.983,0.06666667,13.793103
0.5036765,0.575,0.078,0.11577424,0.942,0.14074074,22.058825
0.44694534,0.5575221,0.126,0.14450128,0.938,0.14469454,38.58521
0.30612245,0.37142858,0.071,0.1418919,0.95,0.058651026,40.816326
0.2704918,0.39310345,0.05,0.19463088,0.936,0.07650273,8.196721
