Education,Car Access,Deprivation,Living Arrangements,Digital Exclusion,Health,Public Transport Access
0.6331361,0.7356322,0.251,0.14524207,0.918,0.19760479,41.420116
0.41304347,0.6111111,0.107,0.1399689,0.94,0.11111111,27.173912
0.40837696,0.46078432,0.125,0.1316129,0.958,0.12335958,44.50262
0.37918216,0.4385965,0.056,0.078404404,0.956,0.11808118,59.479553
0.4293948,0.5963303,0.065,0.17524116,0.921,0.09221902,31.700287
0.25058547,0.5,0.094,0.22362205,0.958,0.19014084,11.709601
0.30701753,0.5294118,0.127,0.110569105,0.961,0.15517241,39.473682
0.18877551,0.2,0.022,0.13782541,0.949,0.055979643,28.061224
0.14344262,0.4556962,0.121,0.14081997,0.943,0.11111111,8.196721
0.20689656,0.5869565,0.098,0.14467409,0.943,0.08189655,21.551725
0.12288135,0.27083334,0.044,0.08801498,0.968,0.06329114,4.237288
0.22166246,0.42553192,0.094,0.19586207,0.955,0.110552765,10.075566
0.55,0.6976744,0.212,0.0671875,0.948,0.13571429,57.142857
0.5301724,0.7570093,0.36,0.14323963,0.906,0.2777778,30.172413
0.58208954,0.7625,0.332,0.12066365,0.927,0.17821783,49.751244
0.6052632,0.80099505,0.336,0.22892939,0.885,0.27631578,41.666668
0.55789477,0.75757575,0.466,0.065891474,0.941,0.23404256,31.578947
0.6111111,0.8,0.333,0.02881356,0.972,0.26760563,111.111115
0.63917524,0.7,0.396,0.15716752,0.945,0.20103092,46.39175
0.4599303,0.53846157,0.091,0.13131313,0.93,0.11660777,24.390244
0.4516129,0.8181818,0.292,0.022813689,0.975,0.29032257,161.29031
0.53669727,0.84210527,0.393,0.12195122,0.929,0.20276497,36.697247
0.5086207,0.7037037,0.438,0.084375,0.944,0.2413793,129.31033
0.6185567,0.82,0.515,0.06257982,0.959,0.22680412,61.85567
0.6319444,0.88,0.463,0.095663264,0.924,0.25694445,62.5
0.4107143,0.72727275,0.29,0.03846154,0.98,0.15789473,196.42857
0.56666666,0.83870965,0.373,0.048136648,0.945,0.20879121,44.444447
0.29449838,0.5394737,0.094,0.117103234,0.961,0.09615385,48.54369
0.14915255,0.3875,0.094,0.095182136,0.972,0.06101695,27.118643
0.526087,0.704918,0.29,0.1517413,0.914,0.20434782,69.565216
0.3006536,0.443038,0.119,0.13458262,0.96,0.07213115,35.947716
0.4,0.33333334,0.17,0.06885246,0.957,0.12068965,45.714287
0.18791947,0.6315789,0.046,0.1996997,0.942,0.09060403,23.489933
0.4906542,0.67021275,0.306,0.13537118,0.933,0.28301886,32.71028
0.19298245,0.5,0.065,0.08356546,0.976,0.0877193,17.54386
0.31092438,0.60784316,0.152,0.06710526,0.967,0.11764706,33.613445
0.22279793,0.5116279,0.093,0.058743168,0.959,0.078125,25.906736
0.62173915,0.62765956,0.324,0.1292985,0.937,0.21888413,43.47826
0.31436315,0.4563107,0.064,0.16271722,0.932,0.08086254,27.100271
0.2382134,0.22093023,0.037,0.15198618,0.929,0.05955335,14.888338
0.35871744,0.4890511,0.069,0.2268212,0.896,0.09018036,28.056112
0.15920398,0.31428573,0.02087,0.105421685,0.971,0.042288557,29.850746
0.44728434,0.59090906,0.09,0.14691152,0.913,0.12779553,19.169329
0.1459854,0.21296297,0.02087,0.19115044,0.917,0.05989111,3.649635
0.52,0.5307692,0.187,0.2024922,0.879,0.13675214,40
0.37810946,0.46853146,0.081,0.24324325,0.913,0.09975062,17.412935
0.26345608,0.41,0.063,0.16,0.958,0.09295775,31.161472
0.16666667,0.39259258,0.067,0.20516717,0.942,0.11221945,27.363184
0.3212121,0.4,0.059,0.12882447,0.953,0.10606061,15.151516
0.46397695,0.6060606,0.171,0.18232045,0.912,0.17002882,37.463978
0.48559672,0.6976744,0.254,0.1030303,0.95,0.15416667,24.691359
0.35185185,0.49137932,0.103,0.1844197,0.93,0.15313224,46.296295
0.5231481,0.80597013,0.222,0.11038961,0.924,0.15813954,37.037037
0.56299216,0.6886792,0.209,0.1168688,0.948,0.13385826,27.559055
0.6254296,0.71304345,0.294,0.15966387,0.939,0.2137931,13.745705
0.6269841,0.73636365,0.236,0.13064133,0.936,0.20634921,43.650795
0.54310346,0.6981132,0.357,0.077151336,0.936,0.18644068,103.44828
0.7258687,0.7291667,0.363,0.120150186,0.931,0.22779922,50.19305
0.4539007,0.7105263,0.226,0.055882353,0.944,0.107913665,99.29078
0.4943182,0.5934959,0.121,0.16872428,0.932,0.09686609,14.204546
0.48333332,0.72527474,0.278,0.12957746,0.923,0.19246861,25
0.48601398,0.4848485,0.134,0.1542056,0.941,0.11578947,38.46154
0.5653846,0.58219177,0.198,0.19134994,0.907,0.13461539,30.76923
0.40849674,0.46575344,0.077,0.11145038,0.923,0.08143322,29.411764
0.5646552,0.71910113,0.284,0.12043302,0.915,0.20689656,86.2069
0.13261649,0.35714287,0.032,0.08974359,0.967,0.08243728,39.426525
0.5972851,0.5487805,0.186,0.17864923,0.925,0.18099548,22.624435
0.55454546,0.8108108,0.169,0.07543323,0.949,0.13574661,27.272728
0.4431818,0.5,0.066,0.08275862,0.951,0.09090909,56.818184
0.34391534,0.39473686,0.029,0.07770961,0.969,0.06349207,31.746033
0.43951613,0.44285715,0.107,0.10903427,0.935,0.10483871,4.032258
0.493007,0.4347826,0.178,0.09653725,0.972,0.16376306,41.958042
0.6477987,0.6909091,0.201,0.08688784,0.949,0.10559006,88.050316
0.50980395,0.65048546,0.092,0.14603616,0.919,0.15196079,26.960785
0.63870966,0.73333335,0.216,0.072981365,0.936,0.23717949,25.806452
0.2653846,0.4861111,0.07,0.1409002,0.948,0.08045977,15.384615
0.38425925,0.59090906,0.236,0.13058823,0.944,0.17592593,64.81481
0.17864078,0.28275862,0.02087,0.196,0.941,0.074074075,19.417477
0.4770318,0.7162162,0.125,0.08008658,0.94,0.11702128,45.936394
0.5219512,0.73170733,0.254,0.123839006,0.951,0.29268292,39.02439
0.54362416,0.64,0.185,0.096525095,0.945,0.16107382,33.557045
0.36928105,0.7019231,0.27,0.12530121,0.958,0.122112215,32.67974
0.3,0.6666667,0.178,0.006535948,0.996,0.22222222,6900
0.13636364,0.9,0.161,0.014745308,0.987,0.08695652,2363.6362
0.6495727,0.84931505,0.405,0.1015299,0.947,0.17948718,102.5641
0.27272728,0.53333336,0.137,0.022792023,0.986,0.08695652,1045.4545
0.5989848,0.75652176,0.425,0.10750695,0.951,0.26395938,55.837563
0.56989247,0.875,0.317,0.06259542,0.954,0.26595744,32.258064
0.60784316,0.86,0.448,0.05997693,0.954,0.25,78.43137
0.41463414,0.5,0.096,0.016759777,0.972,0.093023255,24.390244
0.28703704,0.73333335,0.096,0.100446425,0.972,0.16037735,27.777779
0.35897437,0.88372093,0.415,0.09207709,0.955,0.16455697,102.5641
0.3939394,0.8,0.415,0.03448276,0.955,0.08571429,181.81819
0.33333334,0.71428573,0.0535,0.005079826,0.993,0.2,1066.6667
0.47368422,0.64705884,0.244,0.027692307,0.985,0.15789473,289.4737
0.39473686,0.6,0.244,0.012882448,0.985,0.20512821,26.31579
1,1,0.167,0.001310616,0.987,0,1000
0.45402297,0.71428573,0.163,0.071611255,0.964,0.2,97.70115
0.45192307,0.6451613,0.167,0.050819673,0.983,0.23076923,19.23077
0.42574257,0.44444445,0.167,0.029654035,0.983,0.11881188,79.20792
0.5508475,0.64705884,0.161,0.05892256,0.969,0.18644068,67.79661
0.54867256,0.41463414,0.161,0.062215477,0.969,0.15044248,61.946903
0.4479638,0.6210526,0.226,0.12516469,0.94,0.16972478,54.29864
0.4829932,0.5833333,0.107,0.10419682,0.943,0.14576271,37.414963
0.29515418,0.30081302,0.092,0.16963065,0.922,0.078947365,19.823788
0.11627907,0.36923078,0.04,0.10551948,0.953,0.047244094,42.635662
0.23033708,0.41304347,0.121,0.09330629,0.955,0.08988764,11.235955
0.20350876,0.42857143,0.15,0.13701068,0.951,0.16491228,35.08772
0.5185841,0.4642857,0.08,0.21761657,0.921,0.10600707,37.16814
